12s	12s rna	small subunit ribosomal rna	
16s	16s rna	large subunit ribosomal rna	
lgr5	leucine rich repeat containing G protein-coupled receptor 5			
lig4	lig-4	atp-dependent ligase iv	ligase iv, dna, atp-dependent	atp-dependent dna ligase iv
lingo1	leucine rich repeat and ig domain containing 1			
lingo2	leucine rich repeat and ig domain containing 2			
lphn2	lphn-2	latrophilin 2	adgrl2	adhesion G protein-coupled receptor L2	
lrrn1	lrrn-1	leucine rich repeat neuronal 1	leucine-rich repeat neuronal protein 1	
lrrtm1	leucine rich repeat transmembrane neuronal 1			
lrrtm4	leucine rich repeat transmembrane neuronal 4			
maml2	mastermind like transcriptional coactivator 2			
map1a	microtubule associated protein 1A			
mast2	microtubule associated serine/threonine kinase 2			
mb21d2	mab-21 domain containing 2			
med1	mediator complex subunit 1			
mgat4c	mannosyl alpha-1,3--glycoprotein beta-1,4-n-acetylglucosaminyltransferase isozyme c			
mibp1	c-myc intron-binding protein 1			
mical3	microtubule associated monooxygenase, calponin and LIM domain containing 3			
mios	missing oocyte meiosis regulator	missing oocyte meiosis regulator-like protein		
moz	Human monocytic leukaemia zinc finger protein			
msh6	mutS homolog 6			
mycbp2	MYC binding protein 2			
ncoa6	nuclear receptor coactivator 6			
ncx1	sodium calcium exchanger			
nd2	nadh dehydrogenase subunit 2	nadh dehydrogenase subunit ii		
nd4	nadh dehydrogenase subunit 4	nadh dehydrogenase subunit iv		
ndnf	neuron derived neurotrophic factor			
ndst1	N-deacetylase and N-sulfotransferase 1			
nexmif	neurite extension and migration factor			
nfatc3	nuclear factor of activated T cells 3			
nfil3	nuclear factor, interleukin 3 regulated			
nfm	nf-m	neurofilament subunit M			
nhs	nance-horan syndrome protein	NHS actin remodeling regulator		
nhsl1	NHS like 1			
nova1	NOVA alternative splicing regulator 1			
npas3	neuronal PAS domain protein 3			
npbwr1	neuropeptides B/W receptor 			
nr3c2	nuclear receptor subfamily 3 group C member 2			
nuak1	NUAK family kinase 1			
olfml3	olfactomedin like 3			
panx2	panx-2	pannexin 2		
pcdh17	protocadherin 17			
pcdh18	protocadherin 18			
pclo	piccolo presynaptic cytomatrix protein			
pdp1	pdp-1	pyruvate dehyrogenase phosphatase catalytic subunit 1		
pdzrn3	PDZ domain containing ring finger 3			
pdzrn4	PDZ domain containing ring finger 4			
pik3cg	phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma			
plppr4	phospholipid phosphatase related 4			
plxna4	plexin A4			
pomc	proopiomelanocortin	pro-opiomelanocortin		
poz	kelch repeat and btb domain-containing 2 protein	kbtbd2		
ppl	periplakin			
prdm11	PR/SET domain 11			
prdm16	PR/SET domain 16			
prss23	serine protease 23			
pxdn	peroxidasin			
pycr1	pyrroline-5-carboxylate reductase 1			
rag1	recombination activating 1	recombination activating gene 1		
rag2	recombination activating protein 2	rag-2		
rai1	retinoic acid induced 1			
ranbp2	RAN binding protein 2			
rasal2	RAS protein activator like 2			
rbm15	RNA binding motif protein 15			
rhod	rhodopsin			
rhov	ras homolog family member V			
rin2	Ras and Rab interactor 2			
rnf103	ring finger protein 103			
rnf139	ring finger protein 139			
ror2	receptor tyrosine kinase-like orphan receptor 2	receptor tyrosine kinase like orphan receptor 2		
rreb1	ras responsive element binding protein 1			
s1pr1	sphingosine-1-phosphate receptor 1			
sacs	sacsin	spastic ataxia of charlevoix-saguenay	sacsin molecular chaperone	
sall1	sal-like protein 1			
sall3	spalt like transcription factor 3			
sema6a	semaphorin 6A			
sema6d	semaphorin 6D			
setbp1	SET binding protein 1			
sh3bp4	sh3-domain binding protein 4			
sh3pxd2a	SH3 and PX domains 2A			
shank2	SH3 and multiple ankyrin repeat domains 2			
shroom3	shroom family member 3			
sia	seventh in absentia			
siah2	siah E3 ubiquitin protein ligase 2			
sim1	SIM bHLH transcription factor 1			
sipa1l1	signal induced proliferation associated 1 like 1			
skil	SKI like proto-oncogene			
slc18a3	solute carrier family 18 member A3			
slc26a2	solute carrier family 26 member 2			
slc8a3	solute carrier family 8 member 3	solute carrier family 8 member A3		
slitrk1	slit and ntrk-like family, member 1			
smcr8	Smith-Magenis syndrome chromosome region candidate 8 protein			
snrk	SNF related kinase			
socs5	suppressor of cytokine signaling 5			
sorbs2	sorbin and SH3 domain containing 2			
sp4	Sp4 transcription factor			
spen	spen family transcriptional repressor			
stard13	StAR related lipid transfer domain containing 13			
ston1	stonin 1			
ston2	stonin 2			
svep1	sushi, von willebrand factor type a, egf and pentraxin domain containing protein 1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1		
syne1	spectrin repeat containing nuclear envelope protein 1			
tenm2	teneurin transmembrane protein 2			
tenm4	teneurin transmembrane protein 4			
tex2	testis expressed 2			
tiam1	T cell lymphoma invasion and metastasis 1			
tmem132d	transmembrane protein 132D			
tnrc6c	trinucleotide repeat containing adaptor 6C			
trpm3	transient receptor potential cation channel subfamily M member 3			
tshz1	teashirt zinc finger homeobox 1			
tshz2	teashirt zinc finger homeobox 2			
tshz3	teashirt zinc finger homeobox 3			
ttbk2	tau tubulin kinase 2			
ttn	titin			
tyr	tyrosinase			
uhrf1bp1l	UHRF1 binding protein 1 like			
usf3	upstream transcription factor family member 3			
vcpip1	valosin containing protein interacting protein 1			
vps18	VPS18 core subunit of CORVET and HOPS complexes			
wnt7a	Wnt family member 7A			
ythdf3	YTH N6-methyladenosine RNA binding protein 3			
zbed4	zbed-4	zinc finger bed-type containing protein 4	zinc finger bed-type containing 4 protein	
zbtb21	zinc finger and BTB domain containing 21			
zbtb34	zinc finger and BTB domain containing 34			
zc3h12c	zinc finger CCCH-type containing 12C			
zeb1	zinc finger E-box binding homeobox 1			
zeb2	zinc finger E-box binding homeobox 2			
zfhx3	zinc finger homeobox 3			
zfhx4	zinc finger homeobox 4			
zfpm2	zinc finger protein, FOG family member 2			
zhx2	zinc fingers and homeoboxes 2			
znf142	zinc finger protein 142			
znf148	zinc finger protein 148			
znf292	zinc finger protein 292			
znf423	zinc finger protein 423			
znf521	zinc finger protein 521			
znf536	zinc finger protein 536			
znf644	zinc finger protein 644			
